imdb_title_id,title,year,genre,duration,avg_vote,votes,language
tt0770828,luomo dacciaio,2013,"Action, Adventure, Sci-Fi",143,7.0,678921,English
tt0772175,jersey justice,2014,"Action, Thriller",100,6.1,121,English
tt0775440,cell,2016,"Action, Drama, Horror",98,4.3,24642,English
tt0780548,kid cannabis,2014,"Biography, Comedy, Crime",110,6.4,9344,English
tt0780625,santorini blue,2013,"Comedy, Drama",90,4.2,130,English
tt0780645,war of the dead,2011,"Action, Adventure, Horror",86,4.1,2499,English
tt0780653,wolfman,2010,"Drama, Fantasy, Horror",103,5.8,101634,"English, Romany, Romanian, Ukrainian"
tt0787474,boxtrolls  le scatole magiche,2014,"Animation, Adventure, Comedy",96,6.8,53484,English
tt0790628,lincredibile burt wonderstone,2013,Comedy,100,5.9,70083,"English, Spanish"
tt0790653,elliot loves,2012,"Comedy, Romance",92,6.1,499,"English, Spanish"
tt0790724,jack reacher  la prova decisiva,2012,"Action, Thriller",130,7.0,301986,English
tt0790736,ripd  poliziotti dallaldilà,2013,"Action, Adventure, Comedy",96,5.6,115892,English
tt0795461,scary movie 5,2013,"Comedy, Horror",88,3.5,64419,"English, Spanish, Latin"
tt0800320,scontro tra titani,2010,"Action, Adventure, Fantasy",106,5.8,267178,English
tt0800369,thor,2011,"Action, Adventure, Fantasy",115,7.0,731043,English
tt0803061,red dog,2011,"Biography, Comedy, Drama",92,7.4,16425,"English, Polish"
tt0803096,warcraft linizio,2016,"Action, Adventure, Fantasy",123,6.8,238090,English
tt0804497,5 giorni fuori,2010,"Comedy, Drama, Romance",101,7.1,132502,English
tt0808510,lacchiappadenti,2010,"Comedy, Family, Fantasy",101,5.0,41307,English
tt0810913,jack e jill,2011,Comedy,91,3.3,76576,English
tt0810922,take me home tonight,2011,"Comedy, Drama, Romance",114,6.3,50726,English
tt0811021,plumíferos  aventuras voladoras,2010,"Animation, Adventure, Comedy",80,3.7,252,"Spanish, English"
tt0811137,the dodecapentathlon,2012,Comedy,76,6.0,1665,English
tt0815236,lei è troppo per me,2010,"Comedy, Romance",104,6.4,124762,"English, Ukrainian"
tt0816462,conan the barbarian,2011,"Action, Adventure, Fantasy",113,5.2,94170,English
tt0816711,world war z,2013,"Action, Adventure, Horror",116,7.0,590172,"English, Spanish, Hebrew, Arabic"
tt0817177,il primo amore non si scorda mai,2010,"Comedy, Drama, Romance",90,7.7,79816,English
tt0817230,appuntamento con lamore,2010,"Comedy, Romance",125,5.7,112228,"English, Spanish, Russian, Italian"
tt0817545,the power of few,2013,"Action, Crime, Drama",96,5.2,3419,English
