imdb_title_id,title,year,genre,num_recommendations,domestic_gross,foreign_gross,total_revenue,foreign_share,genre_filtered
tt1862079,safety not guaranteed,2012,"Comedy, Drama, Romance",67,4010957,411361,4422318,0.0930193170188123,Comedy
tt1588173,warm bodies,2013,"Comedy, Horror, Romance",63,66380662,48740946,115121608,0.42338659828309555,Horror
tt1656190,safe,2012,"Action, Crime, Thriller",61,17142080,24353133,41495213,0.5868901793563513,Action
tt1979320,rush,2013,"Action, Biography, Drama",61,26947624,71283215,98230839,0.7256704282043239,Action
tt1637688,in time,2011,"Action, Sci-Fi, Thriller",61,37553932,127550020,165103952,0.7725437123394842,Action
tt4218696,the wall,2017,"Action, Drama, Thriller",60,1803064,2692198,4495262,0.5988967940022183,Action
tt1038686,legion,2010,"Action, Fantasy, Horror",59,40168080,27479494,67647574,0.40621551336046435,Horror
tt1092026,paul,2011,"Adventure, Comedy, Sci-Fi",58,37412945,63749161,101162106,0.6301683853833568,Comedy
tt3504048,housebound,2014,"Comedy, Horror, Mystery",58,0,236863,236863,1.0,Horror
tt1692486,carnage,2011,"Comedy, Drama",57,2546747,35565407,38112154,0.9331775632518697,Comedy
tt0401729,john carter,2012,"Action, Adventure, Sci-Fi",57,73058679,209719421,282778100,0.741639543514862,Action
tt1192628,rango,2011,"Animation, Adventure, Comedy",56,123477607,122246993,245724600,0.4974959487165713,Comedy
tt1840309,divergent,2014,"Action, Adventure, Mystery",56,150947895,125067070,276014965,0.4531169895081595,Action
tt1321870,gangster squad,2013,"Action, Crime, Drama",56,46000903,58100000,104100903,0.5581123537420227,Action
tt1314655,devil,2010,"Horror, Mystery, Thriller",56,33679655,29674459,63354114,0.4683904031867607,Horror
tt6966692,green book,2018,"Biography, Comedy, Drama",55,85080171,236954268,322034439,0.735804123111193,Comedy
tt2719848,everest,2015,"Action, Adventure, Biography",55,43482270,177814791,221297061,0.8035117601494038,Action
tt1242432,i spit on your grave,2010,"Horror, Thriller",54,93051,1185420,1278471,0.9272169646397924,Horror
tt0800369,thor,2011,"Action, Adventure, Fantasy",54,181030624,268295994,449326618,0.597106833319187,Action
tt1974419,the neon demon,2016,"Horror, Thriller",53,1333124,2226679,3559803,0.6255062429016437,Horror
tt1540011,blair witch,2016,"Horror, Mystery, Thriller",52,20777061,18208516,38985577,0.46705775317882303,Horror
tt1341167,four lions,2010,"Comedy, Crime, Drama",51,310007,2126104,2436111,0.8727451253247491,Comedy
tt2872732,lucy,2014,"Action, Sci-Fi, Thriller",51,126573960,330933816,457507776,0.7233403088650454,Action
tt1999890,hell fest,2018,"Horror, Thriller",50,11107431,7011800,18119231,0.3869811031163519,Horror
tt1074638,skyfall,2012,"Action, Adventure, Thriller",50,304360277,806166704,1110526981,0.7259316682914524,Action
tt3501632,thor ragnarok,2017,"Action, Adventure, Comedy",49,315058289,531921735,846980024,0.6280215824783135,Action
tt1598778,contagion,2011,"Action, Drama, Thriller",48,75658097,61893497,137551594,0.4499656834220329,Action
tt1821549,nebraska,2013,"Adventure, Comedy, Drama",47,17654912,7106448,24761360,0.2869974831753991,Comedy
tt3316948,american ultra,2015,"Action, Comedy",46,14439985,15855043,30295028,0.523354624395792,Action
tt1714206,the spectacular now,2013,"Comedy, Drama, Romance",44,6852971,63980,6916951,0.009249740239594005,Comedy
tt1470023,macgruber,2010,"Action, Comedy",44,8525600,104295,8629895,0.012085315058873834,Action
tt1365519,tomb raider,2018,"Action, Adventure, Fantasy",41,58250803,215226698,273477501,0.7869996515727997,Action
tt1640459,hobo with a shotgun,2011,"Action, Comedy, Horror",41,703372,131581,834953,0.15759090631448716,Horror
tt1731141,enders game,2013,"Action, Adventure, Fantasy",41,61737191,66246092,127983283,0.5176151951032543,Action
tt1490017,the lego movie,2014,"Animation, Action, Adventure",41,257784718,199944670,457729388,0.436818511639895,Action
tt1211837,doctor strange,2016,"Action, Adventure, Fantasy",40,232641920,443762646,676404566,0.6560609852536093,Action
