
IMDB_TITLE_ID  ,TITLE                                                                                                                                                                                                                                                                                                                                                                                                           ,      YEAR,GENRE                                                                                                                                                                                                   ,NUM_RECOMMENDATIONS,DOMESTIC_GROSS,FOREIGN_GROSS,TOTAL_REVENUE,FOREIGN_SHARE
---------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------------------,--------------,-------------,-------------,-------------
tt1375666      ,inception                                                                                                                                                                                                                                                                                                                                                                                                       ,      2010,Action, Adventure, Sci-Fi                                                                                                                                                                               ,                462,     292576195,    542948447,    835524642,   .649829364
tt2911666      ,john wick                                                                                                                                                                                                                                                                                                                                                                                                       ,      2014,Action, Crime, Thriller                                                                                                                                                                                 ,                316,      43037835,     33197166,     76235001,   .435458327
tt5688932      ,sorry to bother you                                                                                                                                                                                                                                                                                                                                                                                             ,      2018,Comedy, Fantasy, Sci-Fi                                                                                                                                                                                 ,                292,      17493096,       792464,     18285560,   .043338241
tt6499752      ,upgrade                                                                                                                                                                                                                                                                                                                                                                                                         ,      2018,Action, Sci-Fi, Thriller                                                                                                                                                                                ,                292,      11977130,      4576155,     16553285,   .276449961
tt1856101      ,blade runner 2049                                                                                                                                                                                                                                                                                                                                                                                               ,      2017,Action, Drama, Mystery                                                                                                                                                                                  ,                280,      92054159,    167303249,    259357408,   .645068326
tt1392190      ,mad max fury road                                                                                                                                                                                                                                                                                                                                                                                               ,      2015,Action, Adventure, Sci-Fi                                                                                                                                                                               ,                266,     153636354,    216461666,    370098020,   .584876585
tt3397884      ,sicario                                                                                                                                                                                                                                                                                                                                                                                                         ,      2015,Action, Crime, Drama                                                                                                                                                                                    ,                263,      46889293,     37504456,     84393749,   .444398506
tt6998518      ,mandy                                                                                                                                                                                                                                                                                                                                                                                                           ,      2018,Action, Fantasy, Horror                                                                                                                                                                                 ,                262,       1214525,       213131,      1427656,   .149287363
tt4925292      ,lady bird                                                                                                                                                                                                                                                                                                                                                                                                       ,      2017,Comedy, Drama                                                                                                                                                                                           ,                238,      48958273,     29652496,     78610769,   .377206538
tt3799694      ,the nice guys                                                                                                                                                                                                                                                                                                                                                                                                   ,      2016,Action, Comedy, Crime                                                                                                                                                                                   ,                232,      36261763,     23334984,     59596747,   .391547948
tt1276104      ,looper                                                                                                                                                                                                                                                                                                                                                                                                          ,      2012,Action, Drama, Sci-Fi                                                                                                                                                                                   ,                182,      66486205,    103980200,    170466405,   .609974734
tt2494362      ,bone tomahawk                                                                                                                                                                                                                                                                                                                                                                                                   ,      2015,Drama, Horror, Western                                                                                                                                                                                  ,                180,             0,       475846,       475846,            1
tt5013056      ,dunkirk                                                                                                                                                                                                                                                                                                                                                                                                         ,      2017,Action, Drama, History                                                                                                                                                                                  ,                177,     190068280,    309769088,    499837368,   .619739755
tt2582782      ,hell or high water                                                                                                                                                                                                                                                                                                                                                                                              ,      2016,Action, Crime, Drama                                                                                                                                                                                    ,                177,      27007844,     10576460,     37584304,   .281406302
